Ticker,ISIN Code,Company Name,12/31/2018
DISCA,US25470F1049,Discovery Communications Inc Class A,0.01851%
DISCK,US25470F3029,Discovery Com Class C,0.03953%
APTV,JE00B783TY65,Aptiv PLC,0.07643%
DLTR,US2567461080,Dollar Tree Inc,0.10205%
DOV,US2600031080,Dover Corp.,0.04916%
DWDP,US26078J1007,DowDuPont Inc,0.58377%
DRI,US2371941053,Darden Restaurants Inc,0.05947%
DTE,US2333311072,DTE Energy Co.,0.09606%
DUK,US26441C2044,Duke Energy Corp,0.29239%
DVA,US23918K1088,DaVita Inc.,0.03012%
DVN,US25179M1036,Devon Energy Corp.,0.04991%
EA,US2855121099,Electronic Arts Inc,0.11281%
EBAY,US2786421030,eBay Inc.,0.12088%
ECL,US2788651006,Ecolab Inc.,0.17864%
ED,US2091151041,Consolidated Edison Inc,0.11341%
EFX,US2944291051,Equifax Inc.,0.05330%
EIX,US2810201077,Edison International,0.08854%
EL,US5184391044,Estee Lauder Companies Inc,0.13613%
EMN,US2774321002,Eastman Chemical Co,0.04813%
EMR,US2910111044,Emerson Electric Co,0.17832%
EOG,US26875P1012,EOG Resources Inc,0.24032%
EQIX,US29444U7000,Equinix Inc,0.13485%
EQR,US29476L1070,Equity Residential,0.11604%
ES,US30040W1080,Eversource Energy,0.09807%
ESS,US2971781057,Essex Property Trust,0.07694%
ETFC,US2692464017,E*Trade Financial Corp.,0.05298%
ETN,IE00B8KQN827,Eaton Corporation plc,0.14210%
ETR,US29364G1031,Entergy Corp.,0.07404%
EW,US28176E1082,Edwards Lifesciences Corp,0.15209%
EXC,US30161N1019,Exelon Corp.,0.20751%
EXPD,US3021301094,Expeditors Int'l of Washington Inc,0.05508%
EXPE,US30212P3038,Expedia Inc.,0.06280%
EXR,US30225T1025,Extra Space Storage Inc,0.05512%
F,US3453708600,Ford Motor Co,0.14254%
FAST,US3119001044,Fastenal Co.,0.07209%
FB,US30303M1027,Facebook Inc.,1.49819%
FCX,US35671D8570,Freeport-McMoRan Inc.,0.06663%
FDX,US31428X1063,FedEx Corp,0.18647%
FE,US3379321074,FirstEnergy Corp,0.08688%
FFIV,US3156161024,F5 Networks Inc,0.04740%
FIS,US31620M1062,Fidelity National Information Services Inc,0.16043%
FISV,US3377381088,Fiserv Inc,0.13934%
FITB,US3167731005,Fifth Third Bancorp,0.07260%
FL,US3448491049,Foot Locker Inc.,0.02909%
FLIR,US3024451011,FLIR Systems Inc,0.02865%
FLR,US3434121022,Fluor Corp.,0.02153%
FLS,US34354P1057,Flowserve Corporation,0.02291%
FMC,US3024913036,FMC Corp,0.04794%
FOX,US90130A2006,Twenty-First Century Fox Inc Class B,0.11074%
FOXA,US90130A1016,Twenty-First Century Fox,0.24167%
FRT,US3137472060,Federal Realty Investment Trust,0.04164%
FTI,GB00BDSFG982,TechnipFMC plc,0.03965%
GD,US3695501086,General Dynamics Corp,0.20823%
GE,US3696041033,General Electric Co,0.31329%
GILD,US3755581036,Gilead Sciences Inc,0.38501%
GIS,US3703341046,General Mills Inc.,0.11061%
GLW,US2193501051,Corning Inc.,0.11504%
GM,US37045V1008,General Motors Co,0.20891%
GOOG,US02079K1079,Alphabet Inc. Class C,1.51570%
GOOGL,US02079K3059,Alphabet Inc. Class A,1.48611%
GPC,US3724601055,Genuine Parts Co,0.06723%
GPS,US3647601083,Gap Inc.,0.02539%
GRMN,CH0114405324,Garmin Ltd,0.03642%
GS,US38141G1040,Goldman Sachs Group Inc,0.27498%
GT,US3825501014,Goodyear Tire & Rubber Co,0.02254%
GWW,US3848021040,W. W. Grainger Inc,0.06114%
HAL,US4062161017,Halliburton Co.,0.11058%
HAS,US4180561072,Hasbro Inc.,0.04418%
HBAN,US4461501045,Huntington Bancshares Inc,0.06021%
HBI,US4103451021,Hanesbrands Inc,0.02132%
HCA,US40412C1018,HCA Holdings Inc,0.15812%
WELL,US95040Q1040,Welltower Inc,0.12406%
HCP,US40414L1098,HCP Inc.,0.06345%
HD,US4370761029,Home Depot Inc,0.92345%
HES,US42809H1077,Hess Corp,0.04767%
HIG,US4165151048,Hartford Financial Services Group Inc,0.07568%
HLT,US43300A2033,Hilton Worldwide Holdings Inc.,0.10184%
HOG,US4128221086,Harley-Davidson Inc,0.02626%
HON,US4385161066,Honeywell International Inc,0.46538%
HP,US4234521015,Helmerich and Payne Inc,0.02397%
HPE,US42824C1099,Hewlett Packard Enterprise Co,0.08945%
HPQ,US40434L1052,HP Inc,0.15454%
HRB,US0936711052,H&R Block Inc,0.02460%
HRL,US4404521001,Hormel Foods Corp.,0.05601%
HRS,US4138751056,Harris Corp.,0.07561%
HSIC,US8064071025,Henry Schein Inc,0.05609%
HST,US44107P1049,Host Hotels & Resorts,0.05895%
HSY,US4278661081,Hershey Co,0.07190%
HUM,US4448591028,Humana Inc.,0.18696%
IBM,US4592001014,IBM Corp.,0.49181%
ICE,US45866F1049,Intercontinental Exchange Inc,0.20382%
IFF,US4595061015,International Flavors & Fragrances Inc,0.06440%
ILMN,US4523271090,Illumina Inc,0.20991%
INTC,US4581401001,Intel Corp.,1.01880%
INTU,US4612021034,Intuit Inc.,0.24275%
IP,US4601461035,International Paper Co.,0.07785%
IPG,US4606901001,Interpublic Group of Companies Inc,0.03747%
IR,IE00B6330302,Ingersoll-Rand PLC,0.10712%
IRM,US46284V1017,Iron Mountain Inc.,0.04418%
ISRG,US46120E6023,Intuitive Surgical Inc.,0.25989%
ITW,US4523081093,Illinois Tool Works Inc,0.18401%
IVZ,BMG491BT1088,Invesco Ltd,0.03345%
JBHT,US4456581077,J. B. Hunt Transport Services Inc.,0.03785%
JEC,US4698141078,Jacobs Engineering Group,0.03315%
JNJ,US4781601046,Johnson & Johnson,1.64682%
JNPR,US48203R1041,Juniper Networks Inc,0.04457%
JPM,US46625H1005,JPMorgan Chase & Co.,1.54463%
JWN,US6556641008,Nordstrom Inc,0.02452%
K,US4878361082,Kellogg Co.,0.06869%
KEY,US4932671088,KeyCorp,0.07271%
KHC,US5007541064,Kraft Heinz Co,0.12749%
KIM,US49446R1095,Kimco Realty,0.02915%
KLAC,US4824801009,KLA-Tencor Corp.,0.06482%
KMB,US4943681035,Kimberly-Clark Corp,0.18810%
KMI,US49456B1017,Kinder Morgan Inc,0.13890%
KMX,US1431301027,Carmax Inc.,0.05169%
KO,US1912161007,The Coca Cola Co.,0.86307%
KORS,VGG607541015,Michael Kors Holdings Ltd,0.02692%
KR,US5010441013,Kroger Co.,0.10441%
KSS,US5002551043,Kohl's Corp.,0.05138%
KSU,US4851703029,Kansas City Southern,0.04613%
L,US5404241086,Loews Corp.,0.05925%
LB,US5017971046,L Brands Inc.,0.02674%
LEG,US5246601075,Leggett & Platt Inc,0.02228%
LEN,US5260571048,Lennar Corp.,0.05435%
LH,US50540R4092,Laboratory Corp of America Holdings,0.06011%
LLL,US5024131071,L-3 Comm's Holdings Inc,0.06549%
LLY,US5324571083,Eli Lilly and Co.,0.51912%
LMT,US5398301094,Lockheed Martin Corp.,0.30829%
LNC,US5341871094,Lincoln National Corp,0.05144%
LOW,US5486611073,Lowe's Companies Inc,0.35253%
LRCX,US5128071082,Lam Research Corp,0.10001%
JEF,US47233W1099,Jefferies Financial Group Inc,0.02298%
LUV,US8447411088,Southwest Airlines Co,0.11193%
LYB,NL0009434992,LyondellBasell Industries NV,0.12435%
M,US55616P1049,Macy's Inc.,0.04391%
MA,US57636Q1040,Mastercard Inc.,0.81527%
MAC,US5543821012,Macerich,0.02230%
MAR,US5719032022,Marriott International Inc,0.14626%
MAS,US5745991068,Masco Corp.,0.04226%
MAT,US5770811025,Mattel Inc.,0.01622%
MCD,US5801351017,McDonald's Corp.,0.65072%
MCHP,US5950171042,Microchip Technology Inc,0.08067%
MCK,US58155Q1031,McKesson Corp.,0.10184%
MCO,US6153691059,Moody's Corp,0.11109%
MDLZ,US6092071058,Mondelez International Inc,0.27676%
MDT,IE00BTN1Y115,Medtronic PLC,0.58102%
MET,US59156R1086,MetLife Inc.,0.19247%
SPGI,US78409V1044,S&P Global Inc.,0.20260%
MHK,US6081901042,Mohawk Industries Inc,0.03443%
MKC,US5797802064,McCormick & Company Inc,0.08074%
MLM,US5732841060,Martin Marietta Materials Inc,0.05045%
MMC,US5717481023,Marsh & McLennan Companies Inc,0.19146%
MMM,US88579Y1010,3M Co,0.52777%
MNST,US61174X1090,Monster Beverage Corp,0.09324%
MO,US02209S1033,Altria Group Inc.,0.44158%
MOS,US61945C1036,Mosaic Co,0.04954%
MPC,US56585A1025,Marathon Petroleum Corp,0.19396%
MRK,US58933Y1055,Merck & Co Inc,0.94545%
MRO,US5658491064,Marathon Oil Corp.,0.05672%
MS,US6174464486,Morgan Stanley,0.24664%
MSFT,US5949181045,Microsoft Corp.,3.73365%
MSI,US6200763075,Motorola Solutions Inc.,0.08918%
MTB,US55261F1049,M&T Bank Corp.,0.09560%
MU,US5951121038,Micron Technology Inc,0.16771%
MXIM,US57772K1016,Maxim Integrated Products Inc,0.06617%
MYL,NL0011031208,Mylan NV,0.06717%
NBL,US6550441058,Noble Energy Inc.,0.04176%
NDAQ,US6311031081,Nasdaq Inc,0.04380%
NEE,US65339F1012,NextEra Energy Inc,0.39527%
NEM,US6516391066,Newmont Mining Corp.,0.08756%
NFLX,US64110L1061,Netflix Inc.,0.55537%
NFX,US6512901082,Newfield Exploration Co.,0.01300%
NI,US65473P1057,NiSource Inc.,0.04382%
NKE,US6541061031,Nike Inc.,0.44923%
NLSN,GB00BWFY5505,Nielsen Holdings PLC,0.03861%
NOC,US6668071029,Northrop Grumman Corp.,0.20264%
NOV,US6370711011,National Oilwell Varco Inc.,0.04746%
NRG,US6293775085,NRG Energy Inc,0.05463%
NSC,US6558441084,Norfolk Southern Corp.,0.19345%
NTAP,US64110D1046,NetApp Inc,0.07152%
NTRS,US6658591044,Northern Trust Corp.,0.08780%
NUE,US6703461052,Nucor Corp.,0.07727%
NVDA,US67066G1040,Nvidia Corp.,0.38747%
NWL,US6512291062,Newell Brands Inc,0.03758%
NWS,US65249B2088,News Corp Class B,0.00597%
NWSA,US65249B1098,News Corp Class A,0.02062%
O,US7561091049,Realty Income Corp,0.08852%
OKE,US6826801036,ONEOK Inc,0.10591%
OMC,US6819191064,Omnicom Group Inc,0.07826%
ORCL,US68389X1054,Oracle Corp.,0.54718%
ORLY,US67103H1077,O'Reilly Automotive Inc,0.13103%
OXY,US6745991058,Occidental Petroleum Corp,0.22051%
PAYX,US7043261079,Paychex Inc.,0.09936%
PBCT,US7127041058,People's United Financial Inc,0.02650%
PCAR,US6937181088,PACCAR Inc.,0.09478%
PCG,US69331C1080,PG&E Corp.,0.05930%
BKNG,US09857L1089,Booking Holdings Inc,0.37942%
PEG,US7445731067,Public Service Enterprise Group Inc,0.12542%
PEP,US7134481081,PepsiCo Inc.,0.74203%
PFE,US7170811035,Pfizer Inc.,1.20024%
PFG,US74251V1026,Principal Financial Group Inc,0.05445%
PG,US7427181091,Procter & Gamble Co,1.08965%
PGR,US7433151039,Progressive Corp.,0.16705%
PH,US7010941042,Parker-Hannifin Corp,0.09450%
PHM,US7458671010,PulteGroup Inc,0.03189%
PKI,US7140461093,PerkinElmer Inc,0.04227%
PLD,US74340W1036,Prologis,0.17589%
PM,US7181721090,Philip Morris International Inc,0.49349%
PNC,US6934751057,PNC Financial Services Group Inc,0.25676%
PNR,IE00BLS09M33,Pentair plc,0.02869%
PNW,US7234841010,Pinnacle West Capital Corp,0.04609%
PPG,US6935061076,PPG Industries Inc,0.11669%
PPL,US69351T1060,PPL Corp.,0.09708%
PRGO,IE00BGH1M568,Perrigo Company Plc,0.02368%
PRU,US7443201022,Prudential Financial Inc,0.16009%
PSA,US74460D1090,Public Storage,0.14446%
PSX,US7185461040,Phillips 66,0.17332%
PVH,US6936561009,PVH Corp.,0.03288%
PWR,US74762E1029,Quanta Services Inc.,0.02101%
LIN,IE00BZ12WP82,Linde plc,0.40913%
PXD,US7237871071,Pioneer Natural Resources Co,0.10688%
PYPL,US70450Y1038,PayPal Holdings Inc.,0.47188%
QCOM,US7475251036,Qualcomm Inc,0.32823%
QRVO,US74736K1016,Qorvo Inc,0.03589%
RCL,LR0008862868,Royal Caribbean Cruises Ltd,0.07974%
REGN,US75886F1075,Regeneron Pharmaceuticals Inc.,0.13793%
RF,US7591EP1005,Regions Financial Corp.,0.06553%
RHI,US7703231032,Robert Half Int'l Inc,0.03253%
RHT,US7565771026,Red Hat Inc.,0.14823%
RL,US7512121010,Ralph Lauren Corp,0.02695%
ROK,US7739031091,Rockwell Automation Inc.,0.08623%
ROP,US7766961061,Roper Technologies Inc,0.13153%
ROST,US7782961038,Ross Stores Inc,0.14745%
RSG,US7607591002,Republic Services Inc.,0.07480%
RTN,US7551115071,Raytheon Co.,0.20774%
SBUX,US8552441094,Starbucks Corp.,0.37981%
SCG,US80589M1027,SCANA Corp.,0.03282%
SCHW,US8085131055,Charles Schwab Corp.,0.23715%
SEE,US81211K1007,Sealed Air Corp.,0.02552%
SHW,US8243481061,Sherwin-Williams Co.,0.15440%
SJM,US8326964058,J. M. Smucker Co,0.05093%
SLB,AN8068571086,Schlumberger NV,0.23773%
SLG,US78440X1019,SL Green Realty,0.03174%
SNA,US8330341012,Snap-On Inc.,0.03830%
SO,US8425871071,Southern Co.,0.21501%
SPG,US8288061091,Simon Property Group,0.24723%
SRE,US8168511090,Sempra Energy,0.14087%
STI,US8679141031,SunTrust Banks Inc,0.10783%
STT,US8574771031,State Street Corp.,0.11403%
STX,IE00B58JVZ52,Seagate Technology plc,0.04696%
STZ,US21036P1084,Constellation Brands Inc,0.12672%
SWK,US8545021011,Stanley Black & Decker Inc,0.08584%
SWKS,US83088M1027,Skyworks Solutions Inc.,0.05589%
SYF,US87165B1035,Synchrony Financial,0.07381%
SYK,US8636671013,Stryker Corp.,0.23163%
SYMC,US8715031089,Symantec Corp.,0.05743%
SYY,US8718291078,Sysco Corp.,0.14287%
T,US00206R1023,AT&T Inc.,0.98800%
TAP,US60871R2094,Molson Coors Brewing Co.,0.05025%
TEL,CH0102993182,TE Connectivity Ltd,0.12332%
TGT,US87612E1064,Target Corp.,0.16391%
TIF,US8865471085,Tiffany & Co.,0.04072%
TJX,US8725401090,TJX Companies Inc.,0.26345%
TMK,US8910271043,Torchmark Corp.,0.03570%
TMO,US8835561023,Thermo Fisher Scientific Inc,0.42866%
TRIP,US8969452015,TripAdvisor Inc,0.02694%
TROW,US74144T1088,T. Rowe Price Group Inc,0.10488%
TRV,US89417E1091,Travelers Companies Inc,0.15060%
TSCO,US8923561067,Tractor Supply Co.,0.04905%
TSN,US9024941034,Tyson Foods Inc,0.07565%
TSS,US8919061098,Total System Services Inc,0.06496%
TXN,US8825081040,Texas Instruments Inc,0.43190%
TXT,US8832031012,Textron Inc.,0.05281%
JCI,IE00BY7QL619,Johnson Controls International plc,0.13096%
UA.A,US9043111072,Under Armour Class A,0.01564%
UAL,US9100471096,United Continental Holdings Inc,0.09146%
UDR,US9026531049,UDR Inc,0.05194%
UHS,US9139031002,Universal Health Services Inc,0.04672%
UNH,US91324P1021,UnitedHealth Group Inc,1.14000%
UNM,US91529Y1064,Unum Group,0.03120%
UNP,US9078181081,Union Pacific Corp,0.48460%
UPS,US9113121068,United Parcel Service Inc,0.32227%
URI,US9113631090,United Rentals Inc,0.03938%
USB,US9029733048,U.S. Bancorp,0.33007%
UTX,US9130171096,United Technologies Corp,0.41087%
V,US92826C8394,Visa Inc.,1.10286%
VAR,US92220P1057,Varian Medical Systems Inc,0.04833%
VFC,US9182041080,VF Corp,0.11066%
VIAB,US92553P2011,Viacom Inc.,0.04314%
VLO,US91913Y1001,Valero Energy Corp,0.15089%
VMC,US9291601097,Vulcan Materials Co,0.06186%
VNO,US9290421091,Vornado Realty Trust,0.05105%
VRSK,US92345Y1064,Verisk Analytics Inc,0.08543%
VRSN,US92343E1029,Verisign Inc.,0.07573%
VRTX,US92532F1003,Vertex Pharmaceuticals Inc.,0.20164%
VTR,US92276F1003,Ventas Inc.,0.09937%
VZ,US92343V1044,Verizon Communications Inc,1.10531%
WAT,US9418481035,Waters Corp.,0.06746%
WBA,US9314271084,Walgreens Boots Alliance Inc,0.26140%
WDC,US9581021055,Western Digital Corp,0.05028%
WEC,US92939U1060,WEC Energy Group Inc,0.10410%
WFC,US9497461015,Wells Fargo & Co,0.92891%
WHR,US9633201069,Whirlpool Corp.,0.03238%
WLTW,IE00BDB6Q211,Willis Towers Watson,0.09445%
WM,US94106L1098,Waste Management Inc.,0.16603%
WMB,US9694571004,Williams Companies Inc,0.12701%
WMT,US9311421039,Wal-Mart Stores Inc,0.63096%
WRK,US96145D1054,WestRock Co,0.04618%
WU,US9598021098,Western Union Co.,0.03536%
WY,US9621661043,Weyerhaeuser Co,0.07777%
WYNN,US9831341071,Wynn Resorts Ltd,0.04603%
XEC,US1717981013,Cimarex Energy Co,0.02866%
XEL,US98389B1008,Xcel Energy Inc.,0.12050%
XLNX,US9839191015,Xilinx Inc.,0.10254%
XOM,US30231G1022,Exxon Mobil Corp.,1.37368%
XRAY,US24906P1093,Dentsply Sirona Inc,0.03968%
XRX,US9841216081,Xerox Corp.,0.01936%
XYL,US98419M1009,Xylem Inc.,0.05674%
YUM,US9884981013,Yum! Brands Inc.,0.13659%
ZBH,US98956P1021,Zimmer Biomet Holdings Inc,0.10114%
ZION,US9897011071,Zions Bancorp,0.03703%
ZTS,US98978V1035,Zoetis Inc,0.19601%
HOLX,US4364401012,Hologic Inc,0.05182%
CNC,US15135B1017,Centene Corp,0.11205%
DLR,US2538681030,Digital Realty Trust,0.10458%
ULTA,US90384S3031,Ulta Salon Cosmetics & Fragrance Inc,0.06573%
TDG,US8936411003,TransDigm Group,0.07910%
GPN,US37940X1028,Global Payments Inc,0.07748%
LKQ,US5018892084,LKQ Corp,0.03594%
FBHS,US34964C1062,Fortune Brands Home & Security Inc,0.02548%
AJG,US3635761097,Arthur J. Gallagher & Co,0.06406%
ALK,US0116591092,Alaska Air Group,0.03482%
UA,US9043112062,Under Armour Inc Class C,0.01476%
COO,US2166484020,The Cooper Companies Inc,0.06007%
CHTR,US16119P1084,Charter Communications Inc,0.23900%
MTD,US5926881054,Mettler-Toledo Int'l Inc,0.06725%
FTV,US34959J1088,Fortive Corp,0.09428%
LNT,US0188021085,Alliant Energy Corp,0.04787%
ALB,US0126531013,Albemarle Corp,0.03888%
COTY,US2220702037,Coty Inc,0.01472%
MAA,US59522J1034,Mid-America Apartment Communities,0.05244%
ARNC,US03965L1008,Arconic Inc,0.03508%
RJF,US7547301090,Raymond James Financial Inc,0.04547%
ARE,US0152711091,Alexandria Real Estate Equities,0.05898%
SNPS,US8716071076,Synopsys Inc,0.06039%
DISH,US25470M1099,DISH Network Corp,0.02776%
REG,US7588491032,Regency Centers,0.04732%
CBOE,US12503M1080,CBOE Holdings Inc,0.05289%
INCY,US45337C1027,Incyte Corp,0.05368%
IDXX,US45168D1046,IDEXX Laboratories Inc,0.07548%
IT,US3666511072,Gartner Inc,0.05560%
DXC,US23355L1061,DXC Technology,0.07151%
RE,BMG3223R1088,Everest Re Group Ltd,0.04280%
ALGN,US0162551016,Align Technology Inc.,0.07230%
ANSS,US03662Q1058,ANSYS Inc.,0.05621%
INFO,BMG475671050,IHS Markit Ltd.,0.08187%
CDNS,US1273871087,Cadence Design Systems Inc,0.05841%
SBAC,US78410G1040,SBA Comm's Corp,0.08663%
IQV,US46266C1053,IQVIA Holdings Inc,0.08758%
BHF,US10922N1037,Brighthouse Financial Inc,0.01640%
MGM,US5529531015,MGM Resorts International,0.05782%
RMD,US7611521078,ResMed Inc.,0.07698%
PKG,US6951561090,Packaging Corp of America,0.03757%
AOS,US8318652091,A. O. Smith Corp,0.02846%
DRE,US2644115055,Duke Realty,0.04421%
NCLH,BMG667211046,Norwegian Cruise Line Holdings Ltd,0.04503%
HII,US4464131063,Huntington Ingalls Industries Inc.,0.03958%
TTWO,US8740541094,Take-Two Interactive Software Inc.,0.05583%
SIVB,US78486Q1013,SVB Financial Group,0.04859%
NKTR,US6402681083,Nektar Therapeutics,0.02699%
IPGP,US44980X1090,IPG Photonics Corp,0.01911%
MSCI,US55354G1004,MSCI Inc,0.06138%
ABMD,US0036541003,ABIOMED Inc,0.06953%
EVRG,US30034W1062,Evergy Inc,0.07117%
TWTR,US90184L1026,Twitter Inc,0.09889%
FLT,US3390411052,FleetCor Technologies Inc,0.07890%
HFC,US4361061082,HollyFrontier Corp,0.03847%
BR,US11133T1034,Broadridge Financial Solutions Inc,0.05406%
CPRT,US2172041061,Copart Inc,0.04662%
ANET,US0404131064,Arista Networks Inc,0.05284%
WCG,US94946T1060,WellCare Health Plans Inc,0.05617%
ROL,US7757111049,Rollins Inc,0.02520%
FTNT,US34959E1091,Fortinet Inc,0.04897%
JKHY,US4262811015,Jack Henry & Associates Inc,0.04715%
KEYS,US49338L1035,Keysight Technologies Inc,0.05509%
CE,US1508701034,Celanese Corp,0.05715%
FANG,US25278X1090,Diamondback Energy Inc,0.06803%
LW,US5132721045,Lamb Weston Holdings Inc,0.05119%
